anio,nuevas_inversiones,reinversion_utilidades,cuentas_entre_companias,total,edo,ied
2012,-19.092460333227333,276.45799865000004,383.69653942000025,641.0620777367714,Chihuahua,257.3655383167727
2013,46.98486939,518.5569385694544,195.63300075999985,761.174808719454,Chihuahua,565.5418079594543
2014,74.05836533335481,70.88898711999998,407.42758877999995,552.3749412333542,Chihuahua,144.9473524533548
2015,40.34940310167584,14.793638920000001,59.52276425999994,114.66580628167587,Chihuahua,55.14304202167584
2016,248.6185645364512,8.335911079999988,222.42407473999972,479.37855035645134,Chihuahua,256.9544756164512
2017,410.0112023614819,612.5754756894545,885.0074285400007,1907.5941065909356,Chihuahua,1022.5866780509364
2018,135.95909983240682,470.3565003056492,259.20737027295183,865.5229704110083,Chihuahua,606.315600138056
2019,37.3483894342723,22.490094375660274,301.21977035,361.0582541599325,Chihuahua,59.83848380993257
2020,249.4482652446344,-1.7935702251924117,234.4132753899999,482.06797040944235,Chihuahua,247.654695019442
2021,106.16211398811444,3.3949559989665494,50.40149227668714,159.95856226376839,Chihuahua,109.557069987081
2022,528.9178684994279,494.4479804550834,845.2419082896383,1868.6077572441513,Chihuahua,1023.3658489545112
2006,1033.0672448338655,66.74255935999999,218.79705374999992,1318.6068579438656,Ciudad de México,1099.8098041938656
2007,3978.8199582171146,3581.262372874805,1217.7995534200002,8777.881884511926,Ciudad de México,7560.0823310919195
2008,552.5943531913229,3695.712925296833,452.7562651000002,4701.063543588155,Ciudad de México,4248.307278488156
2009,134.24016095056973,377.14454006000005,174.80770111999982,686.1924021305696,Ciudad de México,511.38470101056976
2010,141.21570474466762,176.11156290999995,537.8267141800001,855.1539818346674,Ciudad de México,317.3272676546676
2011,650.8823688033727,187.25176663000002,-86.79206677999996,751.3420686533734,Ciudad de México,838.1341354333728
2012,1478.932587689933,4436.220794896829,1078.5986136199995,6993.751996206765,Ciudad de México,5915.153382586762
2013,329.5885261360459,2436.666014300651,451.21472986163405,3217.4692702983334,Ciudad de México,2766.254540436697
2014,506.5309409099117,149.69569650999995,286.06875041999984,942.2953878399117,Ciudad de México,656.2266374199116
2015,577.1272905652983,127.32568023000002,212.1323905999999,916.5853613952979,Ciudad de México,704.4529707952983
2016,558.1037727146341,39.824221900000055,-169.47402798999988,428.4539666246341,Ciudad de México,597.9279946146341
2017,1971.3505303258917,2753.51161294065,779.9418428916341,5504.803986158177,Ciudad de México,4724.862143266542
2018,5476.533869656395,3018.4590869391754,208.32378443000007,8703.316741025576,Ciudad de México,8494.99295659557
2019,1117.0398267936946,125.99059398457065,22.465444066960572,1265.4958648452248,Ciudad de México,1243.0304207782654
2020,301.739838371212,37.39869523552123,523.9436535509897,863.0821871577238,Ciudad de México,339.13853360673323
2021,534.3886327981692,-23.829938008928444,-220.1369464900566,290.421748299183,Ciudad de México,510.55869478924075
2022,7429.70216761947,3158.018438150338,534.5959355578929,11122.316541327707,Ciudad de México,10587.720605769808
2006,108.22836627999999,96.99219636999997,169.17125586999998,374.39181852000013,Coahuila,205.22056264999998
2007,497.58978628538915,990.5792145600003,3.9395784500000985,1492.1085792953893,Coahuila,1488.1690008453895
2008,69.72840322,449.45093290999995,-127.11006494000009,392.0692711900001,Coahuila,519.1793361299999
2009,115.32467947000002,32.764009130000005,274.3575036800002,422.4461922799999,Coahuila,148.0886886
2010,0.61106412,63.38347171000001,-249.93605313999998,-185.94151730999997,Coahuila,63.99453583000001
2011,93.65520738000001,48.759251909999996,81.12171287000007,223.53617215999995,Coahuila,142.41445929
2012,279.31935418999996,594.3576656600001,-21.566901529999978,852.1101183199999,Coahuila,873.6770198500001
2013,-0.9727759614713984,345.3505144120212,184.16056967000006,528.5383081205496,Coahuila,344.3777384505498
2014,84.68404869999999,29.927656390000003,361.65235622,476.26406130999993,Coahuila,114.61170508999999
2015,228.90044093,5.508732440000001,-118.39691051,116.01226286000002,Coahuila,234.40917337
2016,45.84773161278707,-34.36438662,-93.21788894000005,-81.73454394721304,Coahuila,11.483344992787075
2017,358.4594452813157,346.4225166220213,334.1981264400002,1039.0800883433365,Coahuila,704.881961903337
2018,290.62116077,324.9867319415012,-293.87397247000007,321.7339202415014,Coahuila,615.6078927115012
2019,53.762945209485544,91.178310267627,197.53195549000006,342.4732109671125,Coahuila,144.94125547711255
2020,193.45241086968474,31.223379007616547,-81.38626765999994,143.2895222173013,Coahuila,224.6757898773013
2021,135.29642309861606,51.01253728526787,-121.17191480293425,65.13704558094955,Coahuila,186.3089603838839
2022,673.1329399477863,498.40095850201243,-298.9001994429342,872.6336990068639,Coahuila,1171.5338984497987
2006,9.761977360000001,-10.450839530000001,-11.003824280000003,-11.692686450000005,Colima,-0.6888621700000002
2007,30.716736855261768,26.45424276,-15.804636460000005,41.366343155261774,Colima,57.17097961526177
2008,17.33481878,21.479326259999993,39.99557744,78.80972248,Colima,38.81414503999999
2009,-8.925179380000001,3.8293909900000003,27.812034799999996,22.716246409999993,Colima,-5.095788390000001
2010,1.45811576,8.33792878,-1.2103436100000002,8.585700930000007,Colima,9.79604454
2011,12.629762060000003,0.4344397900000002,-31.109976229999962,-18.04577437999999,Colima,13.064201850000003
2012,22.497517220000002,34.08108581999998,35.487292399999966,92.06589544,Colima,56.578603039999976
2013,-0.7531404700000001,76.01818095298435,13.015457209999992,88.28049769298435,Colima,75.26504048298435
2014,1.15181734,4.7600295500000005,-8.91532155,-3.003474659999998,Colima,5.9118468900000005
2015,0.6138668361716324,1.70200002,-13.20178203,-10.88591517382837,Colima,2.3158668561716325
2016,2.621931740000001,-0.03402911999999953,13.201202620000002,15.789105240000003,Colima,2.5879026200000013
2017,3.6344754461716318,82.44618140298438,4.099556250000013,90.180213099156,Colima,86.08065684915601
2018,3.2389358560820662,43.84019946825568,11.603426720000002,58.68256204433775,Colima,47.07913532433775
2019,5.857044630000001,2.6047909148351494,-25.313263279999987,-16.851427735164844,Colima,8.46183554483515
2020,17.09711030498029,2.4980829641238107,13.02082526,32.616018529104096,Colima,19.5951932691041
